phase,number,ga_rmse,abs_dTrP,state,parent_trial_id,seed,epochs,cfg_L,cfg_hidden,cfg_epochs,cfg_seed,cfg_print_every,cfg_logfile,cfg_csv,cfg_lr,cfg_w_plaq,cfg_w_wil11,cfg_w_wil12,cfg_w_wil22,cfg_w_wil13,cfg_w_wil23,cfg_w_cr,cfg_w_unitary,cfg_w_phi_smooth,cfg_w_theta_smooth,cfg_w_phi_l2,cfg_use_huber,cfg_huber_delta_wil,cfg_huber_delta_cr,cfg_teacher_seed,param_lr,param_use_huber,param_w_plaq,param_w_unitary,param_w_phi_smooth,param_w_theta_smooth,param_w_phi_l2,param_huber_delta_wil,param_huber_delta_cr
base,279,0.32222050428390503,0.569219708442688,1,,42,300,4,32,300,42,200,,,0.0035621939574188867,0.039976649232432965,0.1,0.28,0.2,0.22,0.18,0.2,0.15109713037527878,0.041332247521350576,0.03438953164647256,0.007294854520925368,True,0.002649407438159711,0.011982554184987608,20250923,0.0035621939574188867,True,0.039976649232432965,0.15109713037527878,0.041332247521350576,0.03438953164647256,0.007294854520925368,0.002649407438159711,0.011982554184987608
base,366,0.32298868894577026,0.3288072645664215,1,,42,300,4,32,300,42,200,,,0.0035621939574188867,0.03677886835487656,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.045890897479768974,0.02249493806460027,0.0006664072632942885,False,0.007751320554953205,0.00624983267049723,20250923,0.0035621939574188867,False,0.03677886835487656,0.13311281804059927,0.045890897479768974,0.02249493806460027,0.0006664072632942885,0.007751320554953205,0.00624983267049723
base,164,0.32390907406806946,0.12509936094284058,1,,42,300,4,32,300,42,200,,,0.0035621939574188867,0.058410494547758166,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.01544837443902471,20250923,0.0035621939574188867,False,0.058410494547758166,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,0.00955155915585546,0.01544837443902471
base,269,0.32390907406806946,0.12509936094284058,1,,42,300,4,32,300,42,200,,,0.0035621939574188867,0.058410494547758166,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.01544837443902471,20250923,0.0035621939574188867,False,0.058410494547758166,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,0.00955155915585546,0.01544837443902471
base,333,0.32390907406806946,0.12509936094284058,1,,42,300,4,32,300,42,200,,,0.0035621939574188867,0.03531475732722501,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.012284904565261023,20250923,0.0035621939574188867,False,0.03531475732722501,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,0.00955155915585546,0.012284904565261023
base,367,0.32390907406806946,0.12509936094284058,1,,42,300,4,32,300,42,200,,,0.0035621939574188867,0.058410494547758166,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.01544837443902471,20250923,0.0035621939574188867,False,0.058410494547758166,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,0.00955155915585546,0.01544837443902471
base,424,0.32390907406806946,0.12509936094284058,1,,42,300,4,32,300,42,200,,,0.0035621939574188867,0.03531475732722501,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.013458062965265822,20250923,0.0035621939574188867,False,0.03531475732722501,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,0.00955155915585546,0.013458062965265822
base,452,0.32390907406806946,0.12509936094284058,1,,42,300,4,32,300,42,200,,,0.0035621939574188867,0.058410494547758166,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.01544837443902471,20250923,0.0035621939574188867,False,0.058410494547758166,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,0.00955155915585546,0.01544837443902471
base,195,0.32564878463745117,0.42875146865844727,1,,42,300,4,32,300,42,200,,,0.003067161352242765,0.027581833233185565,0.1,0.28,0.2,0.22,0.18,0.2,0.05877267654775817,0.03941021735023271,0.039921235283937644,0.0016720448746557317,True,0.00955155915585546,0.01544837443902471,20250923,0.003067161352242765,True,0.027581833233185565,0.05877267654775817,0.03941021735023271,0.039921235283937644,0.0016720448746557317,0.00955155915585546,0.01544837443902471
base,386,0.32564878463745117,0.42875146865844727,1,,42,300,4,32,300,42,200,,,0.003067161352242765,0.027581833233185565,0.1,0.28,0.2,0.22,0.18,0.2,0.05877267654775817,0.03941021735023271,0.039921235283937644,0.0016720448746557317,True,0.00955155915585546,0.01544837443902471,20250923,0.003067161352242765,True,0.027581833233185565,0.05877267654775817,0.03941021735023271,0.039921235283937644,0.0016720448746557317,0.00955155915585546,0.01544837443902471
base,427,0.32564878463745117,0.42875146865844727,1,,42,300,4,32,300,42,200,,,0.003067161352242765,0.027581833233185565,0.1,0.28,0.2,0.22,0.18,0.2,0.05877267654775817,0.03941021735023271,0.039921235283937644,0.0016720448746557317,True,0.00955155915585546,0.01544837443902471,20250923,0.003067161352242765,True,0.027581833233185565,0.05877267654775817,0.03941021735023271,0.039921235283937644,0.0016720448746557317,0.00955155915585546,0.01544837443902471
